,music,hastag_data,author_follower,author_heart,play
50,suara asli - S̳a̳y̳f̳u̳L̳_̳J̳r̳,syahiba_saufa,44900,448700,969000
51,suara asli - SailaCaa225,katakbhizzer,30100,1100000,905700
52,duit mana duit,katakbhizzer,7947,112700,989000
53,suara asli - SailaCaa225,katakbhizzer,30100,1100000,655200
54,i dont care,katakbhizzer,1895,120100,853000
55,suara asli - SailaCaa225,katakbhizzer,30100,1100000,385900
56,suara asli - 𝙁𝙁•𝘿𝘼𝙉𝙉,katakbhizzer,1955,69600,565700
57,suara asli - FALL JAWA😼,katakbhizzer,3589,64100,466100
58,suara asli - Efrian,katakbhizzer,20900,253700,392600
59,Kumau Dia,katakbhizzer,774,45000,166200
60,suara asli - RizkiDuarr🌠,katakbhizzer,1631,42200,331800
61,Love To Hate Me,stm,46600,3100000,1800000
62,original sound,stm,44900,701800,1900000
63,original sound - DellaFataya✨,stm,4544,233700,2900000
64,suara asli - astagfirullah,stm,8166,193000,2100000
65,They are watching us,stm,128300,6800000,803600
66,suara asli - DANGDUT.KALEM,stm,2712,209800,1500000
67,They are watching us,stm,128300,6800000,802400
68,suara asli - DEM🅰️S,stm,1840,159700,2000000
69,suara asli - IBAD•REAL√🔘,stm,8925,318200,2300000
70,original sound,stm,2110,194300,854400
71,origineel geluid,viral,3200000,46400000,287700000
72,original sound,viral,11000000,127700000,264100000
73,Follow weeememes,viral,3500000,64400000,248700000
74,오리지널 사운드 - 원정맨 WonJeong,viral,36600000,963100000,168400000
75,original sound,viral,6900000,314000000,169800000
76,drivers license x take me to church,viral,3300000,46900000,130700000
77,오리지널 사운드 - 원정맨 WonJeong,viral,36600000,963100000,161300000
78,Chopin Nocturne No. 2 Piano Mono,viral,2800000,36300000,109900000
79,original sound,viral,2300000,42400000,119900000
80,M to the B,fyp,86000000,2000000000,657600000
81,Deep End,fyp,10100000,197800000,263900000
82,original sound,fyp,781400,34900000,182400000
83,original sound,fyp,11000000,127700000,270700000
84,Trap de Amarela,fyp,2800000,37600000,252900000
85,original sound,fyp,843100,30900000,200700000
86,original sound,fyp,11000000,127700000,264100000
87,original sound,fyp,3700000,68400000,311400000
88,Love Story,fyp,5200000,62100000,183800000
89,original sound - Jessica Bunga,fyp,6500000,110500000,211900000
90,Asma E Husna,masukberanda,104700,4600000,15800000
91,original sound - A L D I,masukberanda,832500,14600000,36500000
92,Nungguin Wrap Me In Plastik,masukberanda,9500000,185600000,28600000
93,AHH MANTAP,masukberanda,608400,8300000,41100000
94,Fadil jaidi,masukberanda,84400,3500000,28600000
95,Mimimi,masukberanda,95600,5200000,21700000
96,suara asli - Mas Tuu,masukberanda,299300,9100000,42900000
97,Toxic,masukberanda,83800,2900000,19400000
98,original sound - Dy.yol,masukberanda,1600000,39500000,35000000
99,DEVI HARIYANTI JANGAN MARAH MARAH LAGI YA,masukberanda,59000,2600000,20500000
100,original sound,fyou,6600000,191900000,18000000
101,som original,fyou,352600,5000000,24800000
102,DAY IN THE LIFE BURNS stephy,fyou,1200000,31800000,19800000
103,original sound,fyou,562300,10900000,15600000
104,original sound,fyou,247900,4200000,8700000
105,original sound,fyou,10100000,438400000,11300000
106,I'm Just a Kid,fyou,96600,4500000,13500000
107,som original,fyou,718000,8600000,10600000
108,original sound,fyou,1200000,12900000,17900000
109,som original,fyou,112500,2400000,6300000
110,original sound,fyoupage,111300,5600000,22600000
111,suara asli - parispernandes II🇮🇩,fyoupage,2100000,38500000,51400000
112,original sound - Jasonwlm10,fyoupage,3100000,114300000,23400000
113,Absolutely Anything (feat. Or3o),fyoupage,46500,2200000,11600000
114,POOF BE GONE,fyoupage,8100000,72000000,15100000
115,som original,fyoupage,475200,4200000,7600000
116,original sound,fyoupage,214200,1600000,20200000
117,original sound,fyoupage,76500,7800000,4100000
118,som original,fyoupage,188900,1600000,5400000
119,original sound,fyoupage,40800,1200000,16400000
120,original sound - SITIHODIJAH♥️💋,komentarnetizen,4100000,58100000,1900000
121,original sound - Indira Kalistha,komentarnetizen,1100000,21800000,4700000
122,Cute,komentarnetizen,696900,11800000,6400000
123,original sound - JUAN,komentarnetizen,1300000,83900000,1800000
